category_id,category_name,url,status_code,content_type,parseable,priority,notes
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Острогожско-Россошанская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Воронежско-Касторненская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Харьковская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Харьковская_оборонительная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Оборонительная_операция_на_Орловско-Курском_направлении,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/5-я_гвардейская_армия,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Болховско-Орловская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/7-я_гвардейская_армия,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Спас-Деменская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Ельнинско-Дорогобужская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Смоленско-Рославльская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Духовщинско-Демидовская_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/3-я_гвардейская_армия,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/2-я_гвардейская_армия,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Черниговско-Припятская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Сумско-Прилукская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Полтавско-Кременчугская_наступательная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Новороссийская_десантная_операция,200,text/html,requests+bs4,MED,
7,ТОПОНИМЫ,https://ru.wikipedia.org/wiki/Таманская_наступательная_операция,200,text/html,requests+bs4,MED,
